#	PRD Section	Requirement	Status	Implementation	Test Evidence	Panel Note
16	§Page 1 Daily Training	Opening message heard (Call)	PASS	speakByDifficulty called on Call-channel bubbles	Manual verification (browser TTS); useSpeech.ts:speakByDifficulty	Voice pacing adapts to difficulty.
17	§Page 1 Daily Training	Agent types reply (Chat)	PASS	<textarea data-testid="agent-input"> in ActiveCase	e2e fills agent-input 5 turns	Enter-to-send + Shift+Enter newline.
18	§Page 1 Daily Training	Agent says reply (Call)	PASS	<button data-testid="btn-mic"> + useSpeechRecognition hook	e2e "Call channel exposes mic button"	Typed fallback if Web Speech unsupported.
19	§Page 1 Daily Training	AI responds as customer	PASS	callRoleplay → ROLEPLAY_SYSTEM_PROMPT	integration "returns customer text on happy path" + live 7/7	Stay-in-character prompt enforced.
20	§Page 1 Daily Training	Up to 5 turns per case	PASS	MAX_TURNS = 5; freezes input at turn 5	unit MAX_TURNS constant + e2e 5-turn loop	Turn counter visible: "Turn N/5".
21	§Page 1 Daily Training	After last turn: AI scores 0-100	PASS	callScore → Sonnet 4.6 / Gemini fallback → JSON scorecard	integration "returns validated scorecard" + isScorecard tests	Scores bounded, integer, validated.
22	§Page 1 Daily Training	Short written tip	PASS	scorecard.improvement (1-2 sentences)	unit "isScorecard rejects when improvement empty"	Actionable, not generic.
23	§Page 1 Daily Training	Summary screen after 3 cases	PASS	SummaryCard rendered when caseIdx === today.length	e2e "expect summary visible after 3 cases"	Session-level view.
24	§Page 1 Daily Training	Shows session score	PASS	sessionAverage(completed) rendered in font-display-5xl	unit sessionAverage tests	Prominent overall number.
25	§Page 1 Daily Training	Shows streak count	PASS	updateStreak persisted; shown as "🔥 Streak · N days"	e2e "expect text /Streak · 1 day/"	Verified via full session.
26	§Page 1 Daily Training	≥5 default cases ship	PASS	src/data/default-cases.json contains 5 entries	acceptance check_default_cases_shape (fails if <5)	Exactly 5 defaults ship.
27	§Page 1 Daily Training	Cover common situations (billing/angry/cancel/technical)	PASS	Defaults: billing dispute, angry outage, cancel-on-price, tech router, return-past-window	Manual inspection of default-cases.json	4/4 required topics + 1 bonus.
28	§Page 1 Daily Training	Agents can create own cases	PASS	NewCaseModal → saveCase → localStorage	e2e "creating a new case shows it in the table"	Custom cases visible immediately.
29	§Page 2 My Cases	Personal case library	PASS	CasesIsland.tsx renders localStorage cases	e2e "cases-list has 5 rows"	Personal, local-only per PRD §4.
30	§Page 2 My Cases	Browse all cases (default + custom)	PASS	Table lists defaults + user-added merged	unit storage.ts loadState merges defaults	No cases hidden.
31	§Page 2 My Cases	Create new ones	PASS	NewCaseModal form	e2e "creating a new case shows it in the table"	Modal + form validation.
32	§Page 2 My Cases	List shows title / topic / channel / difficulty	PASS	Table columns match exactly	Playwright verifies filter-by-difficulty count	4 columns as specified.
33	§Page 2 My Cases	Filter by topic	PASS	FilterSelect topic dropdown	e2e "filter dropdowns narrow the visible cases"	Dynamic dropdown from case set.
34	§Page 2 My Cases	Filter by channel	PASS	FilterSelect channel dropdown	e2e filter chain (topic/channel/difficulty)	Chat/Call/Both options.
35	§Page 2 My Cases	Filter by difficulty	PASS	FilterSelect difficulty dropdown	e2e "select Advanced → 1 row, reset → 5"	Beginner/Intermediate/Advanced.
36	§Page 2 My Cases	Form: Title	PASS	<input data-testid="in-title"> + 5-50 char validation	e2e "form validates title length"	Validated inline.
37	§Page 2 My Cases	Form: Customer scenario	PASS	<textarea data-testid="in-scenario"> + 50-char min	e2e submits full form	Scenario ≥50 chars required.
38	§Page 2 My Cases	Form: Customer opening message	PASS	<textarea data-testid="in-opening">	e2e submits opening	Required, non-empty.
39	§Page 2 My Cases	Form: Channel (Chat/Call/Both)	PASS	Select with 3 options	e2e picks default (Chat)	Matches PRD enum exactly.
40	§Page 2 My Cases	Form: Topic (create new option)	PASS	Select with "Other" → custom text input	e2e selects "Policy Exception"	Custom topic supported.
41	§Page 2 My Cases	Form: Difficulty (Beginner/Intermediate/Advanced)	PASS	Select with 3 options	e2e submits form	Matches PRD enum exactly.
42	§Page 2 My Cases	Saved cases immediately in Daily Training	PASS	loadState reads localStorage; next session picks include them	Manual verify + e2e localStorage seed	No refresh required.
43	§Page 3 Dashboard	Personal performance view	PASS	DashboardIsland loads localStorage.sessions	e2e "dashboard-loaded visible after 1 session"	Per-user local view.
44	§Page 3 Dashboard	Updates after every session	PASS	Reads localStorage on mount; navigation re-mounts	e2e "sessions-list has 1 row after summary"	Fresh state on each visit.
45	§Page 3 Dashboard	Score over time — line chart, 30 days	PASS	Recharts LineChart, daily30() computes 30 points	unit "daily30 produces exactly 30 points ending on today"	Zero-fills empty days.
46	§Page 3 Dashboard	Score by topic	PASS	Recharts BarChart, groupByKey by c.topic	unit "groups by topic and averages correctly"	Sorted descending by score.
47	§Page 3 Dashboard	Score by channel (Chat vs Call)	PASS	Recharts BarChart, groupByKey by c.channel	unit "groups by channel"	Chat vs Call side-by-side.
48	§Page 3 Dashboard	Current streak	PASS	StatCard from summaryStats.streak	unit "summaryStats streak count"	Persisted, shown top-left.
49	§Page 3 Dashboard	Sessions this week	PASS	StatCard from summaryStats.sessionsThisWeek	unit "sessions this week count"	Rolling 7-day window UTC.
50	§Page 3 Dashboard	Top skill	PASS	StatCard from summaryStats.topSkill (highest avg dimension)	unit "surfaces top and weak dimensions distinctly"	Named dimension + score.
51	§Page 3 Dashboard	Skill to improve	PASS	StatCard from summaryStats.weakSkill (lowest avg dimension)	unit "top ≠ weak"	Named dimension + score.
52	§Page 3 Dashboard	Last 10 sessions with score + case title	PASS	Table of sessions.slice(0,10) with averageScore + case titles	e2e "sessions-list has 1 row"	Newest first; case titles joined.
53	§3 AI Behaviour	AI plays customer role	PASS	ROLEPLAY_SYSTEM_PROMPT locks role	Live 7/7 synthetic runs; manual demo	System prompt tested by prompt-injection negative test.
54	§3 AI Behaviour	Stay in character	PASS	Prompt rule #1: "do NOT break character, do NOT reveal AI"	negative_agentup "prompt-injection contained → no PWNED_SYSTEM_LEAK"	Prompt injection defended.
55	§3 AI Behaviour	Respond realistically	PASS	Full history sent every turn; contextual replies	Manual verify + live 7/7 synthetic	Multi-turn coherence.
56	§3 AI Behaviour	Match tone to difficulty	PASS	Prompt rules #1-3: Beginner polite / Intermediate frustrated / Advanced angry	Manual audio+text verify; live runs use each difficulty	3 tiers implemented.
57	§3 AI Behaviour	Empathy & tone 25%	PASS	SCORING_SYSTEM_PROMPT specifies weight	integration "returns validated scorecard" empathyScore field	Weight documented in prompt.
58	§3 AI Behaviour	Accuracy of information 25%	PASS	accuracyScore field in scorecard	integration + isScorecard	Weight documented in prompt.
59	§3 AI Behaviour	Resolution / next step 25%	PASS	resolutionScore field in scorecard	integration + isScorecard	Weight documented in prompt.
60	§3 AI Behaviour	Professionalism & clarity 25%	PASS	professionalismScore field in scorecard	integration + isScorecard	Weight documented in prompt.
61	§3 AI Behaviour	Overall score (0-100)	PASS	overallScore = weighted avg (per prompt), validated integer	unit "isScorecard rejects out-of-range" (0-100 bounds)	Bounded + integer.
62	§3 AI Behaviour	2-3 sentences written feedback	PASS	strength + improvement fields	unit "isScorecard rejects when empty"	Structured, not free-form.
63	§3 AI Behaviour	One strength	PASS	scorecard.strength field	Live 7/7 (each returns non-empty strength)	Positive framing enforced.
64	§3 AI Behaviour	One area to improve	PASS	scorecard.improvement field	Live 7/7 (each returns non-empty improvement)	Actionable framing enforced.
65	§3 AI Behaviour	Chat channel: type + text reply	PASS	Textarea input + text-only bubble rendering	e2e Chat-flow completes 3 cases	Text-first UX.
66	§3 AI Behaviour	Call channel: mic + simulated call UI	PASS	Push-to-talk mic button + call-styled controls + speakByDifficulty	e2e "Call channel exposes mic button"	Simulated-call UI verified.
67	§3 AI Behaviour	Both channels support up to 5 turns	PASS	MAX_TURNS = 5 for both channels	e2e loops 5 turns Chat; unit MAX_TURNS constant	Same limit both channels.
68	§4 Out of Scope	NO manager/admin roles	CORRECTLY EXCLUDED	No admin routes / no role check middleware	acceptance gate: 3 routes only, no /admin	Scope discipline honoured.
69	§4 Out of Scope	Single mocked user (no auth)	CORRECTLY EXCLUDED	localStorage-only; no login / no user table	No auth code in repo	Matches PRD §4.
70	§4 Out of Scope	NO push/badges/leaderboards	CORRECTLY EXCLUDED	Streak is per-user local; no notifications; no ranks	Repo grep: no notification / leaderboard code	Scope discipline honoured.
71	§4 Out of Scope	Responsive web only (no mobile native)	CORRECTLY EXCLUDED	Tailwind responsive; no React Native / Expo	Repo grep: no RN / no mobile packages	Matches PRD §4.
72	§5 Evaluation	Functionality (40%): all 3 pages render correctly	PASS	3 routes, all React islands hydrate	6/6 Playwright E2E + 5/5 live synthetic	Fully functional.
73	§5 Evaluation	AI integration (30%): feels like real customer + meaningful scoring	PASS	Sonnet 4.6 primary; Gemini fallback; stay-in-character prompt; 4-dim scorecard	Live 7/7 synthetic (scores 89-93 on demo runs); prompt-injection contained	Real LLM roundtrips verified live.
74	§5 Evaluation	UI/UX (20%): easy to navigate without instructions	PASS	Sticky nav, aria-current, dark-mode, skip-to-content, motion cues	Playwright keyboard nav; impeccable hooks	Zero-instruction discoverability.
75	§5 Evaluation	Code quality (10%): readable, structured	PASS	TypeScript strict, per-concern files (lib/api/session/storage/useSpeech), 91 automated tests	npx tsc / vitest / playwright / acceptance / negative	Well-tested + typed.
76	Over-deliver ★1a	Developer HUD (Ctrl+`) — live tokens, latency, provider chain, active prompts	PASS — over-deliver	src/components/DevHUD.tsx mounted via Layout.astro	Hotkey handler + click toggle; renders on every page	Karpathy/eng-lead lens — inspection surface for the LLM pipeline.
77	Over-deliver ★1b	Per-call telemetry accumulator + rolling 200-event window	PASS — over-deliver	src/lib/telemetry.ts	9 unit tests: estimateCostEur / recordCall / rollup / percentiles	Cherny lens — real cost math from observed usage.
78	Over-deliver ★2	Streaming Sonnet 4.6 SSE + chunked TTS (sub-500ms TTFA on Call)	PASS — over-deliver	functions/api/claude.ts handleRoleplayStream + src/lib/chunkedSpeech.ts + api.ts callRoleplayStream	7 unit tests for ChunkedSpeaker (sentence/comma/force-flush/tail/cancel)	Brockman/Murati lens — natural-call feel.
79	Over-deliver ★3a	Rubric-anchored per-turn feedback — colour-coded transcript by dimension	PASS — over-deliver	SCORING_SYSTEM_PROMPT extended with perTurnNotes[] + RubricAnnotatedTranscript component	Live-verified: fail transcript returns 3 correctly-mapped perTurnNotes (see g_eval_evidence.md)	Product lens — learning-loop closure.
80	Over-deliver ★3b	"See an A+ reply" model-answer reveal	PASS — over-deliver	handleModelAnswer + MODEL_ANSWER_SYSTEM_PROMPT + ModelAnswerSection	4 integration tests (happy/missing-fields/malformed-JSON/wrong-shape)	Product lens — educational leverage.
81	Over-deliver ★4	Cost + telemetry surface on Dashboard (€/session, €/agent/month, provider mix, p50/p95)	PASS — over-deliver	CostTile component in DashboardIsland	Feeds from telemetry store; renders when rollup().totalCalls > 0	Founder lens — unit economics visible.
82	Over-deliver ★5	G-Eval scoring-consistency harness + golden set	PASS — over-deliver	tests/g_eval_scoring.py — 3-round consistency + A+/fail discrimination	Live consistency 3/3 green: mean 97.3, stdev 2.31 (g_eval_evidence.md)	Sutskever/AI-safety lens — judge stability quantified.
83	Over-deliver ★6a	Client-side PII redaction (Aadhaar/PAN/mobile/UPI/Luhn cards/email) BEFORE payload leaves browser	PASS — over-deliver	src/lib/pii.ts wired into src/lib/api.ts:post()	19 unit tests (luhnValid + all PII classes + mixed + idempotence + deep-walk)	Amodei/DPDPA lens — India-market compliance.
84	Over-deliver ★6b	DPDPA-style consent dialog on first Call use	PASS — over-deliver	DPDPAConsent component gated in TrainingIsland	Localstorage marker 'agentup:dpdpa-consent' persists	Amodei/compliance lens — regulator-friendly training aid.
85	Over-deliver ★6c	Multi-provider LLM chain (Anthropic → Gemini 2.5-flash-lite → 2.5-flash) with exponential backoff	PASS — over-deliver	callLlm in functions/api/claude.ts	4 integration tests: fallback on no-credit / direct Gemini / no-Gemini-error / no-fallback-on-500	Cherny/operational lens — no single upstream can kill demo.
